"state","postal","value","scalarName","year"
"Alabama","AL",201186.247566644,"road_miles",2010
"Arkansas","AR",202484.476193273,"road_miles",2010
"Arizona","AZ",131486.200099769,"road_miles",2010
"California","CA",384756.687533866,"road_miles",2010
"Colorado","CO",183357.390407468,"road_miles",2010
"Connecticut","CT",45420.3368874277,"road_miles",2010
"District of Columbia","DC",1945.15068635914,"road_miles",2010
"Delaware","DE",12905.5226491216,"road_miles",2010
"Florida","FL",263419.271689678,"road_miles",2010
"Georgia","GA",259319.508958112,"road_miles",2010
"Iowa","IA",233697.359259353,"road_miles",2010
"Idaho","ID",97828.9242446021,"road_miles",2010
"Illinois","IL",293823.809354316,"road_miles",2010
"Indiana","IN",193400.16711102,"road_miles",2010
"Kansas","KS",284947.792633516,"road_miles",2010
"Kentucky","KY",168794.531631658,"road_miles",2010
"Louisiana","LA",127885.917414777,"road_miles",2010
"Massachusetts","MA",73294.2290551801,"road_miles",2010
"Maryland","MD",71466.9644715128,"road_miles",2010
"Maine","ME",47398.8677787168,"road_miles",2010
"Michigan","MI",258605.002483236,"road_miles",2010
"Minnesota","MN",282346.078959835,"road_miles",2010
"Missouri","MO",267721.044487941,"road_miles",2010
"Mississippi","MS",156590.705947693,"road_miles",2010
"Montana","MT",151616.394253077,"road_miles",2010
"North Carolina","NC",220923.315803458,"road_miles",2010
"North Dakota","ND",175685.17821973,"road_miles",2010
"Nebraska","NE",190818.437534709,"road_miles",2010
"New Hampshire","NH",33656.617500402,"road_miles",2010
"New Jersey","NJ",85179.3239182207,"road_miles",2010
"New Mexico","NM",142566.71403223,"road_miles",2010
"Nevada","NV",71670.8668482488,"road_miles",2010
"New York","NY",227257.574948211,"road_miles",2010
"Ohio","OH",258268.301240435,"road_miles",2010
"Oklahoma","OK",234247.11051634,"road_miles",2010
"Oregon","OR",124284.381973692,"road_miles",2010
"Pennsylvania","PA",252152.688054885,"road_miles",2010
"Rhode Island","RI",12314.3177016235,"road_miles",2010
"South Carolina","SC",139454.07837215,"road_miles",2010
"South Dakota","SD",166232.172396791,"road_miles",2010
"Tennessee","TN",191041.721788517,"road_miles",2010
"Texas","TX",655423.35765421,"road_miles",2010
"Utah","UT",93960.5749877947,"road_miles",2010
"Virginia","VA",161249.424588664,"road_miles",2010
"Vermont","VT",29522.4233631549,"road_miles",2010
"Washington","WA",172362.419844486,"road_miles",2010
"Wisconsin","WI",237577.260478306,"road_miles",2010
"West Virginia","WV",80888.3527542438,"road_miles",2010
"Wyoming","WY",59482.048487142,"road_miles",2010
"Alabama","AL",201186.247566644,"road_miles",2090
"Arkansas","AR",202484.476193273,"road_miles",2090
"Arizona","AZ",131486.200099769,"road_miles",2090
"California","CA",384756.687533866,"road_miles",2090
"Colorado","CO",183357.390407468,"road_miles",2090
"Connecticut","CT",45420.3368874277,"road_miles",2090
"District of Columbia","DC",1945.15068635914,"road_miles",2090
"Delaware","DE",12905.5226491216,"road_miles",2090
"Florida","FL",263419.271689678,"road_miles",2090
"Georgia","GA",259319.508958112,"road_miles",2090
"Iowa","IA",233697.359259353,"road_miles",2090
"Idaho","ID",97828.9242446021,"road_miles",2090
"Illinois","IL",293823.809354316,"road_miles",2090
"Indiana","IN",193400.16711102,"road_miles",2090
"Kansas","KS",284947.792633516,"road_miles",2090
"Kentucky","KY",168794.531631658,"road_miles",2090
"Louisiana","LA",127885.917414777,"road_miles",2090
"Massachusetts","MA",73294.2290551801,"road_miles",2090
"Maryland","MD",71466.9644715128,"road_miles",2090
"Maine","ME",47398.8677787168,"road_miles",2090
"Michigan","MI",258605.002483236,"road_miles",2090
"Minnesota","MN",282346.078959835,"road_miles",2090
"Missouri","MO",267721.044487941,"road_miles",2090
"Mississippi","MS",156590.705947693,"road_miles",2090
"Montana","MT",151616.394253077,"road_miles",2090
"North Carolina","NC",220923.315803458,"road_miles",2090
"North Dakota","ND",175685.17821973,"road_miles",2090
"Nebraska","NE",190818.437534709,"road_miles",2090
"New Hampshire","NH",33656.617500402,"road_miles",2090
"New Jersey","NJ",85179.3239182207,"road_miles",2090
"New Mexico","NM",142566.71403223,"road_miles",2090
"Nevada","NV",71670.8668482488,"road_miles",2090
"New York","NY",227257.574948211,"road_miles",2090
"Ohio","OH",258268.301240435,"road_miles",2090
"Oklahoma","OK",234247.11051634,"road_miles",2090
"Oregon","OR",124284.381973692,"road_miles",2090
"Pennsylvania","PA",252152.688054885,"road_miles",2090
"Rhode Island","RI",12314.3177016235,"road_miles",2090
"South Carolina","SC",139454.07837215,"road_miles",2090
"South Dakota","SD",166232.172396791,"road_miles",2090
"Tennessee","TN",191041.721788517,"road_miles",2090
"Texas","TX",655423.35765421,"road_miles",2090
"Utah","UT",93960.5749877947,"road_miles",2090
"Virginia","VA",161249.424588664,"road_miles",2090
"Vermont","VT",29522.4233631549,"road_miles",2090
"Washington","WA",172362.419844486,"road_miles",2090
"Wisconsin","WI",237577.260478306,"road_miles",2090
"West Virginia","WV",80888.3527542438,"road_miles",2090
"Wyoming","WY",59482.048487142,"road_miles",2090
